Número de leitores, Número de escritores, Tempo Médio
0, 100, 125
1, 99, 125
2, 98, 124
3, 97, 123
4, 96, 123
5, 95, 124
6, 94, 123
7, 93, 124
8, 92, 122
9, 91, 122
10, 90, 121
11, 89, 122
12, 88, 120
13, 87, 119
14, 86, 120
15, 85, 120
16, 84, 122
17, 83, 122
18, 82, 120
19, 81, 120
20, 80, 122
21, 79, 121
22, 78, 122
23, 77, 120
24, 76, 121
25, 75, 120
26, 74, 122
27, 73, 119
28, 72, 121
29, 71, 121
30, 70, 121
31, 69, 122
32, 68, 122
33, 67, 122
34, 66, 123
35, 65, 121
36, 64, 122
37, 63, 122
38, 62, 122
39, 61, 123
40, 60, 123
41, 59, 124
42, 58, 124
43, 57, 124
44, 56, 123
45, 55, 123
46, 54, 123
47, 53, 123
48, 52, 124
49, 51, 124
50, 50, 123
51, 49, 124
52, 48, 124
53, 47, 121
54, 46, 122
55, 45, 124
56, 44, 124
57, 43, 125
58, 42, 125
59, 41, 124
60, 40, 121
61, 39, 121
62, 38, 121
63, 37, 120
64, 36, 124
65, 35, 122
66, 34, 121
67, 33, 123
68, 32, 123
69, 31, 124
70, 30, 123
71, 29, 123
72, 28, 121
73, 27, 121
74, 26, 121
75, 25, 120
76, 24, 121
77, 23, 121
78, 22, 120
79, 21, 123
80, 20, 122
81, 19, 122
82, 18, 121
83, 17, 119
84, 16, 119
85, 15, 120
86, 14, 121
87, 13, 124
88, 12, 122
89, 11, 124
90, 10, 122
91, 9, 121
92, 8, 122
93, 7, 122
94, 6, 122
95, 5, 123
96, 4, 123
97, 3, 122
98, 2, 121
99, 1, 121
100, 0, 121
0, 100, 120
1, 99, 119
2, 98, 119
3, 97, 119
4, 96, 120
5, 95, 119
6, 94, 120
7, 93, 120
8, 92, 120
9, 91, 118
10, 90, 119
11, 89, 120
12, 88, 119
13, 87, 119
14, 86, 119
15, 85, 119
16, 84, 119
17, 83, 120
18, 82, 121
19, 81, 119
20, 80, 120
21, 79, 119
22, 78, 119
23, 77, 121
24, 76, 119
25, 75, 121
26, 74, 119
27, 73, 122
28, 72, 123
29, 71, 119
30, 70, 119
31, 69, 119
32, 68, 118
33, 67, 117
34, 66, 120
35, 65, 118
36, 64, 119
37, 63, 119
38, 62, 118
39, 61, 119
40, 60, 121
41, 59, 118
42, 58, 119
43, 57, 119
44, 56, 119
45, 55, 120
46, 54, 121
47, 53, 119
48, 52, 118
49, 51, 120
50, 50, 118
51, 49, 120
52, 48, 120
53, 47, 118
54, 46, 118
55, 45, 119
56, 44, 119
57, 43, 118
58, 42, 119
59, 41, 120
60, 40, 118
61, 39, 119
62, 38, 118
63, 37, 120
64, 36, 118
65, 35, 118
66, 34, 119
67, 33, 119
68, 32, 120
69, 31, 120
70, 30, 119
71, 29, 120
72, 28, 120
73, 27, 121
74, 26, 118
75, 25, 118
76, 24, 118
77, 23, 118
78, 22, 118
79, 21, 118
80, 20, 118
81, 19, 120
82, 18, 120
83, 17, 120
84, 16, 118
85, 15, 119
86, 14, 118
87, 13, 118
88, 12, 118
89, 11, 118
90, 10, 118
91, 9, 119
92, 8, 118
93, 7, 118
94, 6, 118
95, 5, 118
96, 4, 119
97, 3, 118
98, 2, 118
99, 1, 119
100, 0, 118